,Actual_OFI,FNN_Model_OFI,actual_signal,FNN_signal
0,-0.3453887884267631,-0.9,SELL,SELL
1,-0.9429928741092637,-0.9,SELL,SELL
2,0.22686025408348456,0.6201127,BUY,BUY
3,-0.12210200927357033,-0.5001976,SELL,SELL
4,0.8428571428571429,0.9,BUY,BUY
5,-0.5615763546798029,-0.9,SELL,SELL
6,0.7913043478260869,0.9,BUY,BUY
7,-0.01818181818181818,-0.077222526,SELL,SELL
8,-0.12941176470588237,-0.3873574,SELL,SELL
9,-0.04961832061068702,-0.0079419,SELL,SELL
10,0.47246376811594204,0.9,BUY,BUY
11,-0.17582417582417584,-0.30293173,SELL,SELL
12,-0.06666666666666667,-0.07183045,SELL,SELL
13,0.33527696793002915,0.9,BUY,BUY
14,-0.17054263565891473,-0.3869111,SELL,SELL
15,0.183206106870229,0.3802734,BUY,BUY
16,-0.5609756097560976,-0.9,SELL,SELL
17,-0.6826722338204593,-0.9,SELL,SELL
18,0.04422869471413161,-0.08280915,BUY,SELL
19,0.45652173913043476,0.9,BUY,BUY
20,0.17994858611825193,0.67109853,BUY,BUY
21,-0.05166051660516605,-0.007663427,SELL,SELL
22,-0.48466257668711654,-0.9,SELL,SELL
23,0.1921182266009852,0.7202857,BUY,BUY
24,0.034482758620689655,-0.1347248,BUY,SELL
25,0.07869481765834933,0.17597133,BUY,BUY
26,0.5332252836304701,0.9,BUY,BUY
27,-0.6063348416289592,-0.9,SELL,SELL
28,0.8796296296296297,0.9,BUY,BUY
29,-0.8961937716262975,-0.9,SELL,SELL
30,0.36363636363636365,0.56075484,BUY,BUY
31,0.14789687924016282,0.576423,BUY,BUY
32,0.1319910514541387,0.41776162,BUY,BUY
33,-0.30612244897959184,-0.9,SELL,SELL
34,0.046251993620414676,-0.0213415,BUY,SELL
35,-0.8609865470852018,-0.9,SELL,SELL
36,-0.1509433962264151,-0.71284693,SELL,SELL
37,0.9595141700404858,0.9,BUY,BUY
38,0.5808383233532934,0.9,BUY,BUY
39,-0.9693486590038314,-0.9,SELL,SELL
40,-0.01611170784103115,-0.10805577,SELL,SELL
41,-0.07193229901269393,-0.11534041,SELL,SELL
42,0.22310756972111553,0.57961637,BUY,BUY
43,0.3949579831932773,0.9,BUY,BUY
44,-0.46835443037974683,-0.9,SELL,SELL
45,-0.09774436090225563,-0.21589345,SELL,SELL
46,0.022408963585434174,-0.20591038,BUY,SELL
47,-0.41,-0.9,SELL,SELL
48,-0.5359477124183006,-0.9,SELL,SELL
49,0.352059925093633,0.9783142,BUY,BUY
50,0.06926406926406926,0.11626655,BUY,BUY
51,0.1559633027522936,0.29341274,BUY,BUY
52,0.005758157389635317,-0.1021902,BUY,SELL
53,-0.8304347826086956,-0.9,SELL,SELL
54,0.7378435517970402,0.9,BUY,BUY
55,0.873589164785553,0.9,BUY,BUY
56,0.12738853503184713,0.48608857,BUY,BUY
57,-0.15333333333333332,-0.6932518,SELL,SELL
58,-0.3333333333333333,-0.9,SELL,SELL
59,-0.3379501385041551,-0.9,SELL,SELL
60,-0.2961240310077519,-0.9,SELL,SELL
61,-0.04360056258790436,-0.011598287,SELL,SELL
62,0.48120300751879697,0.86281985,BUY,BUY
63,-0.7104072398190046,-0.9,SELL,SELL
64,0.16390977443609023,0.57462436,BUY,BUY
65,-0.9166666666666666,-0.9,SELL,SELL
66,-0.47549019607843135,-0.9,SELL,SELL
67,-0.8207885304659498,-0.9,SELL,SELL
68,0.44390243902439025,0.9,BUY,BUY
69,-0.012925969447708578,-0.10920495,SELL,SELL
70,-0.08814589665653495,-0.15112942,SELL,SELL
71,-0.08902691511387163,-0.19762725,SELL,SELL
72,0.30268199233716475,0.78759843,BUY,BUY
73,0.21323529411764705,0.77476436,BUY,BUY
74,0.07272727272727272,0.1302889,BUY,BUY
75,-0.283763277693475,-0.9,SELL,SELL
76,0.3333333333333333,0.9,BUY,BUY
77,0.013953488372093023,-0.096211374,BUY,SELL
78,0.5093167701863354,0.9,BUY,BUY
79,-0.0824295010845987,-0.24728268,SELL,SELL
80,0.03254769921436588,-0.18960637,BUY,SELL
81,0.20481927710843373,0.38901073,BUY,BUY
82,-0.4429223744292237,-0.9,SELL,SELL
83,0.12598425196850394,0.24884278,BUY,BUY
84,0.21683673469387754,0.7618812,BUY,BUY
85,0.06515580736543909,0.088430464,BUY,BUY
86,-0.3021978021978022,-0.9,SELL,SELL
87,0.3137254901960784,0.3537596,BUY,BUY
88,-0.037383177570093455,-0.0059270244,SELL,SELL
89,0.5914489311163895,0.9,BUY,BUY
90,-0.07058823529411765,-0.08246082,SELL,SELL
91,0.5714285714285714,0.9,BUY,BUY
92,0.1478537360890302,0.5253871,BUY,BUY
93,0.42657342657342656,0.9,BUY,BUY
94,-0.004991680532445923,-0.091640174,SELL,SELL
95,0.6322314049586777,0.9,BUY,BUY
96,-0.6909722222222222,-0.9,SELL,SELL
