,Actual_OFI,VAR_Only_OFI,Combined_Model_OFI,actual_signal,forecasted_VAR_signal,forecasted_UDE_signal
0,1.0,0.07691737552237544,1.0,BUY,BUY,BUY
1,-1.0,0.07334909609919918,-0.13375661028564062,SELL,BUY,SELL
2,1.0,0.008571218040432533,0.8459109374722945,BUY,BUY,BUY
3,0.0,0.007938669076319836,0.014713850422025884,HOLD,BUY,BUY
4,-1.0,0.006986347034219357,-0.7613555829067449,SELL,BUY,SELL
5,-1.0,0.006995358991517232,-0.7609770061457364,SELL,BUY,SELL
6,1.0,0.0070038477066324475,0.2725994412476225,BUY,BUY,BUY
7,0.5,0.007004178657379463,0.5178264235719003,BUY,BUY,BUY
8,-0.3333333333333333,0.00700434747771835,-0.4053267212520974,SELL,BUY,SELL
9,-0.3333333333333333,0.007004345959781284,-0.40532675461086143,SELL,BUY,SELL
10,-0.3333333333333333,0.0070043450546431185,-0.40532677141757256,SELL,BUY,SELL
11,0.6666666666666666,0.007004344964594574,0.6636518947028538,BUY,BUY,BUY
12,1.0,0.007004344936184623,0.8253872590866422,BUY,BUY,BUY
13,0.2,0.007004344936246185,0.2142937612276778,BUY,BUY,BUY
14,0.0,0.007004344936324075,0.000838300480273566,HOLD,BUY,BUY
15,1.0,0.007004344936343805,1.0,BUY,BUY,BUY
16,0.0,0.007004344936348346,0.0008383004805922196,HOLD,BUY,BUY
17,0.0,0.007004344936348406,0.0008383004805929952,HOLD,BUY,BUY
18,1.0,0.007004344936348407,1.0,BUY,BUY,BUY
19,-0.9910979228486647,0.007004344936348407,-1.0,SELL,BUY,SELL
20,-1.0,0.007004344936348407,-1.0,SELL,BUY,SELL
21,0.0,0.007004344936348407,-0.0007054284348686417,HOLD,BUY,SELL
22,-1.0,0.007004344936348407,-1.0,SELL,BUY,SELL
23,0.0,0.007004344936348407,0.002450236239805103,HOLD,BUY,BUY
24,1.0,0.007004344936348407,0.9960543814509165,BUY,BUY,BUY
25,-1.0,0.007004344936348407,-0.9907123151541757,SELL,BUY,SELL
26,-1.0,0.007004344936348407,-0.9907123151541757,SELL,BUY,SELL
27,-0.9903381642512077,0.007004344936348407,-1.0,SELL,BUY,SELL
28,-0.8,0.007004344936348407,-1.0,SELL,BUY,SELL
29,-0.6,0.007004344936348407,-0.7472178763457855,SELL,BUY,SELL
30,1.0,0.007004344936348407,1.0,BUY,BUY,BUY
31,-0.5,0.007004344936348407,-0.5680916583685507,SELL,BUY,SELL
32,-1.0,0.007004344936348407,-0.9907123151541757,SELL,BUY,SELL
33,-0.9926739926739927,0.007004344936348407,-1.0,SELL,BUY,SELL
34,-0.7142857142857143,0.007004344936348407,-1.0,SELL,BUY,SELL
35,0.7142857142857143,0.007004344936348407,0.9781405216073368,BUY,BUY,BUY
36,0.0,0.007004344936348407,0.002450236239805103,HOLD,BUY,BUY
37,0.3333333333333333,0.007004344936348407,0.33586399429521885,BUY,BUY,BUY
38,-0.7142857142857143,0.007004344936348407,-0.9922734440030915,SELL,BUY,SELL
39,-1.0,0.007004344936348407,-0.9907123151541757,SELL,BUY,SELL
40,1.0,0.007004344936348407,1.0,BUY,BUY,BUY
41,-0.3333333333333333,0.007004344936348407,-0.3428076284458512,SELL,BUY,SELL
42,1.0,0.007004344936348407,1.0,BUY,BUY,BUY
43,1.0,0.007004344936348407,0.9960543814509165,BUY,BUY,BUY
44,0.6666666666666666,0.007004344936348407,0.8458646229880119,BUY,BUY,BUY
45,-0.6666666666666666,0.007004344936348407,-0.9914899499746145,SELL,BUY,SELL
46,0.3333333333333333,0.007004344936348407,0.33586399429521885,BUY,BUY,BUY
47,-1.0,0.007004344936348407,-1.0,SELL,BUY,SELL
48,-0.6049382716049383,0.007004344936348407,-0.7478054679599431,SELL,BUY,SELL
49,-0.7490196078431373,0.007004344936348407,-1.0,SELL,BUY,SELL
50,-0.9807692307692307,0.007004344936348407,-1.0,SELL,BUY,SELL
51,0.008403361344537815,0.007004344936348407,0.009910806458519312,BUY,BUY,BUY
52,-0.3488372093023256,0.007004344936348407,-0.3487843660899107,SELL,BUY,SELL
53,-1.0,0.007004344936348407,-1.0,SELL,BUY,SELL
54,0.5,0.007004344936348407,0.6612605042880261,BUY,BUY,BUY
55,-1.0,0.007004344936348407,-0.9772821179137675,SELL,BUY,SELL
56,-0.3333333333333333,0.007004344936348407,-0.33185137403199577,SELL,BUY,SELL
57,-1.0,0.007004344936348407,-1.0,SELL,BUY,SELL
58,1.0,0.007004344936348407,0.9929834387666459,BUY,BUY,BUY
59,0.3435114503816794,0.007004344936348407,0.3473749192851224,BUY,BUY,BUY
60,-1.0,0.007004344936348407,-0.9607100264146392,SELL,BUY,SELL
61,-1.0,0.007004344936348407,-0.9607100264146392,SELL,BUY,SELL
62,0.0,0.007004344936348407,0.0017217454959403786,HOLD,BUY,BUY
63,1.0,0.007004344936348407,0.9773815017035405,BUY,BUY,BUY
64,-1.0,0.007004344936348407,-0.9879525143305192,SELL,BUY,SELL
65,-0.9591836734693877,0.007004344936348407,-1.0,SELL,BUY,SELL
66,-1.0,0.007004344936348407,-1.0,SELL,BUY,SELL
67,1.0,0.007004344936348407,1.0,BUY,BUY,BUY
