Lag Order,FNN Layer-Neuron,Activation,Optimizer,Train MSE,Train MAE,Train R2,BTCUSD MSE,BTCUSD MAE,BTCUSD R2,BTCUSD Acc,BTCUSD Prec,ETCUSDT MSE,ETCUSDT MAE,ETCUSDT R2,ETCUSDT Acc,ETCUSDT Prec,Synthetic MSE,Synthetic MAE,Synthetic R2,Synthetic Acc,Synthetic Prec
1,128-64-2,ReLU,Adam,0.019352465823520765,0.028767857660247902,0.9524791518535967,0.030334265725654796,0.008900466011060912,0.8718392328470683,0.8116167224336399,0.9732352291549871,0.030454635575417232,0.022701814444901137,0.8528818292014123,0.9939819704323989,0.9664885281600843,0.011404616423235533,0.009545624180177514,0.8756766313794807,0.8608484485919076,0.9049512863264476
1,128-64-2,ReLU,SGD,0.022165305913463672,0.012280728504951047,0.9356594052611331,0.007835199171950049,0.012303616213380452,0.9012906580611169,0.8912139968434072,0.9570351922786027,0.010784015325759629,0.017855860960340288,0.9329380396406859,0.8092900825439996,0.9215089703802877,0.009355682060677287,0.006626289824631988,0.9828439752154666,0.9931264066149119,0.9616794696232922
1,128-64-2,Tanh,Adam,0.015926074689495164,0.007441802850159596,0.9457926237117019,0.022567472193240467,0.00805095587111947,0.9193247674155778,0.8068777042230437,0.9818640804157565,0.01368021909840083,0.021563057108849547,0.8936395506525175,0.9040136042355622,0.9093420558686559,0.010057868320750826,0.029239615694113964,0.958518595270556,0.9878997883128378,0.9789654700855298
1,128-64-2,Tanh,SGD,0.030297098961743173,0.028046855875577918,0.8623889502872687,0.010603160258538115,0.006130682222763452,0.895546246306857,0.8777354579378964,0.8542698063547792,0.04160813794844454,0.01391883316733973,0.8893308313562333,0.9085392166316497,0.8281848449949526,0.040307652056947946,0.00686376609199427,0.9881641711240724,0.9544489538593315,0.8397431363068345
1,128-64-2,Sigmoid,Adam,0.0012705837390565176,0.025386535711370853,0.9489600281386664,0.03672135123400838,0.024281758667148642,0.8603662512427727,0.8716931457088546,0.823173811905026,0.043292067867904085,0.020582453170688946,0.8963257234793709,0.8127116700572048,0.8621964643431325,0.016933982779310606,0.023240154458451602,0.9392580459897298,0.9774425485152654,0.8944429850323898
1,128-64-2,Sigmoid,SGD,0.006860118050976784,0.022831119680574875,0.9565099068063656,0.028502582680905317,0.024274179498864023,0.9191313834910146,0.9045465658763988,0.8855082036717099,0.0022455372104606642,0.0076972856748326116,0.8544000859961428,0.9272820822527561,0.8628711962152653,0.025919963867070437,0.027689161848152323,0.8849009120808424,0.882076584607126,0.9511102277086098
1,32-16-2,ReLU,Adam,0.012211110109089502,0.006924497745719824,0.8905652034079276,0.008899843075446216,0.028242441308564327,0.9631368531390183,0.9266807513020847,0.9742921180375436,0.04037993176805661,0.009664251472150897,0.9749582597885968,0.9078684483831302,0.9614880310328126,0.04490847369625117,0.012950086874296596,0.8654072694338747,0.8455870325083884,0.8854215577252513
1,32-16-2,ReLU,SGD,0.04108272353020217,0.026518264581408584,0.8509732982743666,0.026026617826300724,0.015435275078719474,0.8810950934659022,0.8239730734667366,0.8675230342807256,0.047202575491713444,0.013080073300518882,0.9226306870440713,0.9406037917790355,0.8727259204758588,0.048617322053327076,0.02906118237355278,0.8852495214155509,0.8994497011784771,0.8601756619633539
1,32-16-2,Tanh,Adam,0.014957184224495913,0.0059221736838633195,0.9353390067571855,0.025631272138214214,0.006286968781249734,0.8890105049931256,0.9816531771933308,0.8479123781333945,0.008099848732469932,0.017236319006939074,0.987991063575484,0.8484110543023001,0.9344271094811757,0.038319361151107165,0.01094093859980999,0.9519502888056603,0.8735566265438507,0.9264611661187159
1,32-16-2,Tanh,SGD,0.032042955827283844,0.01839436710186896,0.8626405678076171,0.04192982228387266,0.013019501624293394,0.8761125914559795,0.8081550283109529,0.9181785886376483,0.03420065373027184,0.0054146957231964036,0.9216930281618994,0.8452991550395876,0.92903455808189,0.009543955021244582,0.02227344345256165,0.9041429484820752,0.9873459977473469,0.8275041888291987
1,32-16-2,Sigmoid,Adam,0.017712251201462668,0.007836838031014726,0.9794571065589988,0.04398962831566807,0.01144854069287889,0.942397766444785,0.9634444400402432,0.9110401623198925,0.02695287833944432,0.011046307272511291,0.8630343874928259,0.9794431515906654,0.9800836114326661,0.032021971406390126,0.013475744776217515,0.8988893404457725,0.9451911357740479,0.9794220519905155
