,Actual_OFI,VAR_Only_OFI,Combined_Model_OFI,actual_signal,forecasted_VAR_signal,forecasted_VAR+ FNN_signal
0,-0.3453887884267631,0.11347608760851523,-0.3314591589236581,SELL,BUY,SELL
1,-0.9429928741092637,0.10198982541594982,-0.9202820292923127,SELL,BUY,SELL
2,0.22686025408348456,0.006529238143843599,0.22562717835699797,BUY,BUY,BUY
3,-0.12210200927357033,0.006681387523894264,-0.1203339646144249,SELL,BUY,SELL
4,0.8428571428571429,0.00696773573785796,0.8431063988340014,BUY,BUY,BUY
5,-0.5615763546798029,0.00698897004878383,-0.5581245230509604,SELL,BUY,SELL
6,0.7913043478260869,0.007004326604390786,0.7906023355289983,BUY,BUY,BUY
7,-0.01818181818181818,0.007004358938843464,-0.016524937357716787,SELL,BUY,SELL
8,-0.12941176470588237,0.007004353469372992,-0.1275813073435496,SELL,BUY,SELL
9,-0.04961832061068702,0.007004347365980265,-0.04790715435503121,SELL,BUY,SELL
10,0.47246376811594204,0.00700434496814349,0.4718518224332369,BUY,BUY,BUY
11,-0.17582417582417584,0.007004344939381188,-0.17382056803454457,SELL,BUY,SELL
12,-0.06666666666666667,0.007004344934675522,-0.06492655305867515,SELL,BUY,SELL
13,0.33527696793002915,0.007004344935972282,0.33632159591255,BUY,BUY,BUY
14,-0.17054263565891473,0.007004344936337046,-0.16854270599928212,SELL,BUY,SELL
15,0.183206106870229,0.0070043449363471335,0.1842339792756633,BUY,BUY,BUY
16,-0.5609756097560976,0.007004344936348701,-0.5575162416782944,SELL,BUY,SELL
17,-0.6826722338204593,0.007004344936348466,-0.6783385949331694,SELL,BUY,SELL
18,0.04422869471413161,0.007004344936348407,0.045755808807977874,BUY,BUY,BUY
19,0.45652173913043476,0.007004344936348407,0.4559995354872028,BUY,BUY,BUY
20,0.17994858611825193,0.007004344936348407,0.18108063426241827,BUY,BUY,BUY
21,-0.05166051660516605,0.007004344936348407,-0.04994565095741563,SELL,BUY,SELL
22,-0.48466257668711654,0.007004344936348407,-0.48168095450813125,SELL,BUY,SELL
23,0.1921182266009852,0.007004344936348407,0.19325503398807387,BUY,BUY,BUY
24,0.034482758620689655,0.007004344936348407,0.03602858077645453,BUY,BUY,BUY
25,0.07869481765834933,0.007004344936348407,0.08011861001933167,BUY,BUY,BUY
26,0.5332252836304701,0.007004344936348407,0.5325628797487895,BUY,BUY,BUY
27,-0.6063348416289592,0.007004344936348407,-0.6025817271983868,SELL,BUY,SELL
28,0.8796296296296297,0.007004344936348407,0.8873750303506296,BUY,BUY,BUY
29,-0.8961937716262975,0.007004344936348407,-0.8896770091883929,SELL,BUY,SELL
30,0.36363636363636365,0.007004344936348407,0.3648649537573736,BUY,BUY,BUY
31,0.14789687924016282,0.007004344936348407,0.14913176003649056,BUY,BUY,BUY
32,0.1319910514541387,0.007004344936348407,0.13324942641266452,BUY,BUY,BUY
33,-0.30612244897959184,0.007004344936348407,-0.30387480797325345,SELL,BUY,SELL
34,0.046251993620414676,0.007004344936348407,0.04776579201338967,BUY,BUY,BUY
35,-0.8609865470852018,0.007004344936348407,-0.8549438779293927,SELL,BUY,SELL
36,-0.1509433962264151,0.007004344936348407,-0.14895239646742534,SELL,BUY,SELL
37,0.9595141700404858,0.007004344936348407,1.0,BUY,BUY,BUY
38,0.5808383233532934,0.007004344936348407,0.5801518149733897,BUY,BUY,BUY
39,-0.9693486590038314,0.007004344936348407,-0.9571235895103706,SELL,BUY,SELL
40,-0.01611170784103115,0.007004344936348407,-0.014457016741358263,SELL,BUY,SELL
41,-0.07193229901269393,0.007004344936348407,-0.07018412160503132,SELL,BUY,SELL
42,0.22310756972111553,0.007004344936348407,0.22230675995720417,BUY,BUY,BUY
43,0.3949579831932773,0.007004344936348407,0.3947443569351638,BUY,BUY,BUY
44,-0.46835443037974683,0.007004344936348407,-0.4654716557018236,SELL,BUY,SELL
45,-0.09774436090225563,0.007004344936348407,-0.09595526313590723,SELL,BUY,SELL
46,0.022408963585434174,0.007004344936348407,0.02398115922108081,BUY,BUY,BUY
47,-0.41,0.007004344936348407,-0.40738879088137314,SELL,BUY,SELL
48,-0.5359477124183006,0.007004344936348407,-0.5326848130984838,SELL,BUY,SELL
49,0.352059925093633,0.007004344936348407,0.35336913670488174,BUY,BUY,BUY
50,0.06926406926406926,0.007004344936348407,0.07070834521072852,BUY,BUY,BUY
51,0.1559633027522936,0.007004344936348407,0.15706633042717238,BUY,BUY,BUY
52,0.005758157389635317,0.007004344936348407,0.007360630334403789,BUY,BUY,BUY
53,-0.8304347826086956,0.007004344936348407,-0.8247204174739632,SELL,BUY,SELL
54,0.7378435517970402,0.007004344936348407,0.73759244383024,BUY,BUY,BUY
55,0.873589164785553,0.007004344936348407,0.8895704287129674,BUY,BUY,BUY
56,0.12738853503184713,0.007004344936348407,0.1286800941147021,BUY,BUY,BUY
57,-0.15333333333333332,0.007004344936348407,-0.15134153172542453,SELL,BUY,SELL
58,-0.3333333333333333,0.007004344936348407,-0.3309974462554955,SELL,BUY,SELL
59,-0.3379501385041551,0.007004344936348407,-0.3356134276345536,SELL,BUY,SELL
60,-0.2961240310077519,0.007004344936348407,-0.29390681734081703,SELL,BUY,SELL
61,-0.04360056258790436,0.007004344936348407,-0.04189817784590264,SELL,BUY,SELL
62,0.48120300751879697,0.007004344936348407,0.48053593430311153,BUY,BUY,BUY
63,-0.7104072398190046,0.007004344936348407,-0.7058306379020081,SELL,BUY,SELL
64,0.16390977443609023,0.007004344936348407,0.1650879275064545,BUY,BUY,BUY
65,-0.9166666666666666,0.007004344936348407,-0.9098622527197429,SELL,BUY,SELL
66,-0.47549019607843135,0.007004344936348407,-0.4725459731274538,SELL,BUY,SELL
67,-0.8207885304659498,0.007004344936348407,-0.8150862952945612,SELL,BUY,SELL
68,0.44390243902439025,0.007004344936348407,0.44341677476898145,BUY,BUY,BUY
69,-0.012925969447708578,0.007004344936348407,-0.011278149470843012,SELL,BUY,SELL
70,-0.08814589665653495,0.007004344936348407,-0.08636974625751298,SELL,BUY,SELL
71,-0.08902691511387163,0.007004344936348407,-0.08725232913765198,SELL,BUY,SELL
72,0.30268199233716475,0.007004344936348407,0.3030133282245737,BUY,BUY,BUY
73,0.21323529411764705,0.007004344936348407,0.2130293431959295,BUY,BUY,BUY
74,0.07272727272727272,0.007004344936348407,0.07415987349246923,BUY,BUY,BUY
75,-0.283763277693475,0.007004344936348407,-0.2815776338951697,SELL,BUY,SELL
76,0.3333333333333333,0.007004344936348407,0.334348578168484,BUY,BUY,BUY
77,0.013953488372093023,0.007004344936348407,0.015532987298271468,BUY,BUY,BUY
78,0.5093167701863354,0.007004344936348407,0.5086821294993696,BUY,BUY,BUY
79,-0.0824295010845987,0.007004344936348407,-0.0806666579394903,SELL,BUY,SELL
80,0.03254769921436588,0.007004344936348407,0.034100919879866014,BUY,BUY,BUY
81,0.20481927710843373,0.007004344936348407,0.20575551068711107,BUY,BUY,BUY
82,-0.4429223744292237,0.007004344936348407,-0.44014728668736164,SELL,BUY,SELL
83,0.12598425196850394,0.007004344936348407,0.12721329542410525,BUY,BUY,BUY
84,0.21683673469387754,0.007004344936348407,0.21629245509830305,BUY,BUY,BUY
85,0.06515580736543909,0.007004344936348407,0.06659796257778465,BUY,BUY,BUY
86,-0.3021978021978022,0.007004344936348407,-0.299966471594123,SELL,BUY,SELL
87,0.3137254901960784,0.007004344936348407,0.31389781046698456,BUY,BUY,BUY
88,-0.037383177570093455,0.007004344936348407,-0.03570687372515272,SELL,BUY,SELL
89,0.5914489311163895,0.007004344936348407,0.5907455041723796,BUY,BUY,BUY
90,-0.07058823529411765,0.007004344936348407,-0.06884188088397775,SELL,BUY,SELL
91,0.5714285714285714,0.007004344936348407,0.5707046135260981,BUY,BUY,BUY
92,0.1478537360890302,0.007004344936348407,0.14908141275509398,BUY,BUY,BUY
93,0.42657342657342656,0.007004344936348407,0.42614570050082035,BUY,BUY,BUY
94,-0.004991680532445923,0.007004344936348407,-0.0033639258255002582,SELL,BUY,SELL
95,0.6322314049586777,0.007004344936348407,0.6316076074107804,BUY,BUY,BUY
96,-0.6909722222222222,0.007004344936348407,-0.6865870500980861,SELL,BUY,SELL
97,-0.12098765432098765,0.007004344936348407,-0.11917602426901606,SELL,BUY,SELL
98,0.036585365853658534,0.007004344936348407,0.03811550442514787,BUY,BUY,BUY
99,0.009174311926605505,0.007004344936348407,0.010779482090392584,BUY,BUY,BUY
100,0.8873994638069705,0.007004344936348407,0.907129006241817,BUY,BUY,BUY
101,0.13766233766233765,0.007004344936348407,0.13889179357530168,BUY,BUY,BUY
102,-0.9279279279279279,0.007004344936348407,-0.9203666784926312,SELL,BUY,SELL
103,-0.6764705882352942,0.007004344936348407,-0.6715827380850371,SELL,BUY,SELL
104,0.8356940509915014,0.007004344936348407,0.8359890191389114,BUY,BUY,BUY
105,0.04295942720763723,0.007004344936348407,0.04448772857137477,BUY,BUY,BUY
106,0.39655172413793105,0.007004344936348407,0.39623259151124646,BUY,BUY,BUY
107,-0.37800687285223367,0.007004344936348407,-0.375523873857962,SELL,BUY,SELL
108,-0.2706185567010309,0.007004344936348407,-0.26846529235250416,SELL,BUY,SELL
109,-0.028125,0.007004344936348407,-0.02645118532914158,SELL,BUY,SELL
110,-0.25757575757575757,0.007004344936348407,-0.25543287819762545,SELL,BUY,SELL
111,-0.28073394495412846,0.007004344936348407,-0.278552563355226,SELL,BUY,SELL
112,0.5173501577287066,0.007004344936348407,0.5167045773499477,BUY,BUY,BUY
113,0.056439942112879886,0.007004344936348407,0.05793109720228359,BUY,BUY,BUY
114,0.948051948051948,0.007004344936348407,0.987097697990776,BUY,BUY,BUY
115,0.25757575757575757,0.007004344936348407,0.2567253701903257,BUY,BUY,BUY
